id,name,category,subcategory,latitude,longitude,city,state,address,phone,rating,description
1,All India Institute of Medical Sciences,Healthcare,Hospital,28.5672,77.2100,New Delhi,Delhi,"AIIMS Ansari Nagar, New Delhi",+91-11-26588500,4.5,Premier medical institute and hospital
2,Red Fort,Tourism,Historical Monument,28.6562,77.2410,New Delhi,Delhi,"Netaji Subhash Marg, Chandni Chowk",+91-11-23277705,4.3,UNESCO World Heritage Site - Mughal fortress
3,India Gate,Tourism,Monument,28.6129,77.2295,New Delhi,Delhi,"Rajpath, India Gate",NA,4.4,War memorial arch in New Delhi
4,Connaught Place,Shopping,Mall,28.6315,77.2167,New Delhi,Delhi,"Connaught Place, New Delhi",NA,4.2,Commercial and business center
5,IIT Delhi,Education,University,28.5449,77.1928,New Delhi,Delhi,"Hauz Khas, New Delhi",+91-11-26591011,4.6,Premier engineering institute
6,Karim's Restaurant,Food,Restaurant,28.6506,77.2334,New Delhi,Delhi,"Gali Kababian, Jama Masjid",+91-11-23264981,4.1,Famous Mughlai cuisine restaurant
7,Apollo Hospital,Healthcare,Hospital,28.5244,77.2066,New Delhi,Delhi,"Sarita Vihar, New Delhi",+91-11-26925858,4.3,Multi-specialty hospital
8,Humayun's Tomb,Tourism,Historical Monument,28.5933,77.2507,New Delhi,Delhi,"Mathura Road, Nizamuddin",+91-11-24358229,4.4,UNESCO World Heritage Site - Mughal tomb
9,Select City Walk,Shopping,Mall,28.5244,77.2066,New Delhi,Delhi,"A-3, District Centre, Saket",+91-11-40885000,4.3,Premium shopping mall
10,Metro Cash & Carry,Shopping,Wholesale,28.4595,77.0266,Gurgaon,Haryana,"Sector 29, Gurgaon",+91-124-4719999,4.0,Wholesale retail store
11,Gateway of India,Tourism,Monument,18.9220,72.8347,Mumbai,Maharashtra,"Apollo Bunder, Colaba",NA,4.2,Historic monument overlooking Arabian Sea
